"alcaldia","nombre_colonia","clave_colonia","año","mes","casos_positivos"
"ALVARO OBREGON","ARTURO MARTINEZ","10-018",2021,"Febrero",218
"ALVARO OBREGON","ARTURO MARTINEZ","10-018",2021,"Julio",155
"ALVARO OBREGON","ARTURO MARTINEZ","10-018",2021,"Marzo",71
"ALVARO OBREGON","ARTURO MARTINEZ","10-018",2021,"Noviembre",86
"ALVARO OBREGON","ARTURO MARTINEZ","10-018",2021,"Septiembre",10
"ALVARO OBREGON","ARTURO MARTINEZ","10-018",2022,"Enero",435
"ALVARO OBREGON","ARTURO MARTINEZ","10-018",2022,"Febrero",54
"ALVARO OBREGON","ARVIDE","10-019",2021,"Agosto",15
"ALVARO OBREGON","ARVIDE","10-019",2021,"Enero",32
"ALVARO OBREGON","ARVIDE","10-019",2021,"Julio",12
"ALVARO OBREGON","ARVIDE","10-019",2022,"Enero",145
"ALVARO OBREGON","ARVIDE","10-019",2022,"Febrero",19
"ALVARO OBREGON","ATLAMAXAC","10-020",2021,"Agosto",49
"ALVARO OBREGON","ATLAMAXAC","10-020",2021,"Julio",10
"ALVARO OBREGON","ATLAMAXAC","10-020",2022,"Enero",16
"ALVARO OBREGON","ATLAMAYA","10-021",2022,"Enero",10
"ALVARO OBREGON","AVE REAL","10-022",2020,"Diciembre",34
"ALVARO OBREGON","AVE REAL","10-022",2021,"Abril",25
"ALVARO OBREGON","AVE REAL","10-022",2021,"Agosto",166
"ALVARO OBREGON","AVE REAL","10-022",2021,"Enero",44
"ALVARO OBREGON","AVE REAL","10-022",2021,"Febrero",49
"ALVARO OBREGON","AVE REAL","10-022",2021,"Julio",198
"ALVARO OBREGON","AVE REAL","10-022",2021,"Marzo",49
"ALVARO OBREGON","AVE REAL","10-022",2021,"Octubre",6
"ALVARO OBREGON","AVE REAL","10-022",2021,"Septiembre",6
"ALVARO OBREGON","AVE REAL","10-022",2022,"Enero",236
"ALVARO OBREGON","AVE REAL","10-022",2022,"Febrero",17
"ALVARO OBREGON","AVE REAL (AMPL)","10-023",2022,"Enero",40
"ALVARO OBREGON","AXOTLA","10-024",2020,"Diciembre",178
"ALVARO OBREGON","AXOTLA","10-024",2020,"Noviembre",6
"ALVARO OBREGON","AXOTLA","10-024",2020,"Octubre",6
"ALVARO OBREGON","AXOTLA","10-024",2021,"Agosto",253
"ALVARO OBREGON","AXOTLA","10-024",2021,"Diciembre",5
"ALVARO OBREGON","AXOTLA","10-024",2021,"Enero",124
"ALVARO OBREGON","AXOTLA","10-024",2021,"Julio",123
"ALVARO OBREGON","AXOTLA","10-024",2021,"Septiembre",31
"ALVARO OBREGON","AXOTLA","10-024",2022,"Enero",300
"ALVARO OBREGON","AXOTLA","10-024",2022,"Febrero",44
"ALVARO OBREGON","BALCONES DE CEHUAYO","10-025",2020,"Diciembre",31
"ALVARO OBREGON","BALCONES DE CEHUAYO","10-025",2020,"Septiembre",30
"ALVARO OBREGON","BALCONES DE CEHUAYO","10-025",2021,"Agosto",103
"ALVARO OBREGON","BALCONES DE CEHUAYO","10-025",2021,"Enero",30
"ALVARO OBREGON","BALCONES DE CEHUAYO","10-025",2021,"Julio",67
"ALVARO OBREGON","BALCONES DE CEHUAYO","10-025",2021,"Octubre",6
"ALVARO OBREGON","BALCONES DE CEHUAYO","10-025",2021,"Septiembre",98
"ALVARO OBREGON","BALCONES DE CEHUAYO","10-025",2022,"Enero",346
"ALVARO OBREGON","BALCONES DE CEHUAYO","10-025",2022,"Febrero",7
"ALVARO OBREGON","BARRIO NORTE","10-026",2020,"Diciembre",2028
"ALVARO OBREGON","BARRIO NORTE","10-026",2020,"Noviembre",511
"ALVARO OBREGON","BARRIO NORTE","10-026",2020,"Octubre",403
"ALVARO OBREGON","BARRIO NORTE","10-026",2020,"Septiembre",355
"ALVARO OBREGON","BARRIO NORTE","10-026",2021,"Abril",319
"ALVARO OBREGON","BARRIO NORTE","10-026",2021,"Agosto",2586
"ALVARO OBREGON","BARRIO NORTE","10-026",2021,"Diciembre",116
"ALVARO OBREGON","BARRIO NORTE","10-026",2021,"Enero",2752
"ALVARO OBREGON","BARRIO NORTE","10-026",2021,"Febrero",1534
"ALVARO OBREGON","BARRIO NORTE","10-026",2021,"Julio",1407
"ALVARO OBREGON","BARRIO NORTE","10-026",2021,"Junio",344
"ALVARO OBREGON","BARRIO NORTE","10-026",2021,"Marzo",1049
"ALVARO OBREGON","BARRIO NORTE","10-026",2021,"Mayo",214
"ALVARO OBREGON","BARRIO NORTE","10-026",2021,"Noviembre",119
"ALVARO OBREGON","BARRIO NORTE","10-026",2021,"Octubre",403
"ALVARO OBREGON","BARRIO NORTE","10-026",2021,"Septiembre",927
"ALVARO OBREGON","BARRIO NORTE","10-026",2022,"Enero",4646
"ALVARO OBREGON","BARRIO NORTE","10-026",2022,"Febrero",791
"ALVARO OBREGON","BATALLON DE SAN PATRICIO (U HAB)","10-027",2021,"Julio",80
"ALVARO OBREGON","BATALLON DE SAN PATRICIO (U HAB)","10-027",2022,"Enero",68
"ALVARO OBREGON","BATALLON DE SAN PATRICIO (U HAB)","10-027",2022,"Febrero",10
"ALVARO OBREGON","BEJERO","10-028",2020,"Diciembre",37
"ALVARO OBREGON","BEJERO","10-028",2020,"Noviembre",47
"ALVARO OBREGON","BEJERO","10-028",2020,"Octubre",11
"ALVARO OBREGON","BEJERO","10-028",2021,"Abril",46
"ALVARO OBREGON","BEJERO","10-028",2021,"Enero",200
"ALVARO OBREGON","BEJERO","10-028",2021,"Febrero",75
"ALVARO OBREGON","BEJERO","10-028",2021,"Marzo",10
"ALVARO OBREGON","BEJERO","10-028",2021,"Septiembre",71
"ALVARO OBREGON","BEJERO","10-028",2022,"Enero",385
"ALVARO OBREGON","BEJERO","10-028",2022,"Febrero",73
"ALVARO OBREGON","BELEN DE LAS FLORES","10-029",2020,"Diciembre",222
"ALVARO OBREGON","BELEN DE LAS FLORES","10-029",2020,"Octubre",11
"ALVARO OBREGON","BELEN DE LAS FLORES","10-029",2021,"Abril",71
"ALVARO OBREGON","BELEN DE LAS FLORES","10-029",2021,"Agosto",404
"ALVARO OBREGON","BELEN DE LAS FLORES","10-029",2021,"Enero",179
"ALVARO OBREGON","BELEN DE LAS FLORES","10-029",2021,"Febrero",180
"ALVARO OBREGON","BELEN DE LAS FLORES","10-029",2021,"Julio",256
"ALVARO OBREGON","BELEN DE LAS FLORES","10-029",2021,"Octubre",92
"ALVARO OBREGON","BELEN DE LAS FLORES","10-029",2021,"Septiembre",194
"ALVARO OBREGON","BELEN DE LAS FLORES","10-029",2022,"Enero",782
"ALVARO OBREGON","BELEN DE LAS FLORES","10-029",2022,"Febrero",107
"ALVARO OBREGON","BELEN DE LAS FLORES (U HAB)","10-231",2020,"Diciembre",266
"ALVARO OBREGON","BELEN DE LAS FLORES (U HAB)","10-231",2020,"Noviembre",74
"ALVARO OBREGON","BELEN DE LAS FLORES (U HAB)","10-231",2020,"Octubre",29
"ALVARO OBREGON","BELEN DE LAS FLORES (U HAB)","10-231",2020,"Septiembre",28
"ALVARO OBREGON","BELEN DE LAS FLORES (U HAB)","10-231",2021,"Abril",17
"ALVARO OBREGON","BELEN DE LAS FLORES (U HAB)","10-231",2021,"Agosto",242
"ALVARO OBREGON","BELEN DE LAS FLORES (U HAB)","10-231",2021,"Enero",454
"ALVARO OBREGON","BELEN DE LAS FLORES (U HAB)","10-231",2021,"Febrero",98
"ALVARO OBREGON","BELEN DE LAS FLORES (U HAB)","10-231",2021,"Julio",175
"ALVARO OBREGON","BELEN DE LAS FLORES (U HAB)","10-231",2021,"Junio",62
"ALVARO OBREGON","BELEN DE LAS FLORES (U HAB)","10-231",2021,"Marzo",111
"ALVARO OBREGON","BELEN DE LAS FLORES (U HAB)","10-231",2021,"Mayo",5
"ALVARO OBREGON","BELEN DE LAS FLORES (U HAB)","10-231",2021,"Septiembre",28
"ALVARO OBREGON","BELEN DE LAS FLORES (U HAB)","10-231",2022,"Enero",380
"ALVARO OBREGON","BELEN DE LAS FLORES (U HAB)","10-231",2022,"Febrero",92
"ALVARO OBREGON","BELEN DE LAS FLORES SECCION RELLENO","10-030",2021,"Febrero",5
"ALVARO OBREGON","BELEN DE LAS FLORES SECCION RELLENO","10-030",2022,"Enero",71
"ALVARO OBREGON","BELEN DE LAS FLORES_","10-249",2020,"Diciembre",21
"ALVARO OBREGON","BELEN DE LAS FLORES_","10-249",2021,"Agosto",30
"ALVARO OBREGON","BELEN DE LAS FLORES_","10-249",2021,"Febrero",33
"ALVARO OBREGON","BELEN DE LAS FLORES_","10-249",2021,"Marzo",101
"ALVARO OBREGON","BELEN DE LAS FLORES_","10-249",2022,"Enero",227
"ALVARO OBREGON","BELLA VISTA","10-031",2020,"Diciembre",1412
"ALVARO OBREGON","BELLA VISTA","10-031",2020,"Noviembre",425
"ALVARO OBREGON","BELLA VISTA","10-031",2020,"Octubre",259
"ALVARO OBREGON","BELLA VISTA","10-031",2020,"Septiembre",272
"ALVARO OBREGON","BELLA VISTA","10-031",2021,"Abril",101
"ALVARO OBREGON","BELLA VISTA","10-031",2021,"Agosto",1277
"ALVARO OBREGON","BELLA VISTA","10-031",2021,"Diciembre",92
"ALVARO OBREGON","BELLA VISTA","10-031",2021,"Enero",1097
"ALVARO OBREGON","BELLA VISTA","10-031",2021,"Febrero",837
"ALVARO OBREGON","BELLA VISTA","10-031",2021,"Julio",912
